,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0.0,0,31041.189200000023,0,0.0,0,0.0,683831.1832000001,0.0
1,Presidente Juscelino Kubitschek,0.0,0,0.0,0,0.0,0,0.0,0.0,136216.0976
2,Tancredo Neves,0.0,0,0.0,0,0.0,0,0.0,0.0,15844.962800000001
3,Viracopos,0.0,0,0.0,0,0.0,0,163355.83200000002,0.0,0.0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,189158.2632000003,0,0.0,0,137799.10279999985,0,0.0,0.0,0.0
5,Guararapes - Gilberto Freyre Internacional,0.0,0,0.0,0,0.0,0,13653.017199999973,0.0,79041.79960000003
6,Deputado Luis Eduardo Magalhães-Intl,0.0,0,0.0,0,0.0,0,0.0,0.0,53580.6924
7,Salgado Filho,0.0,0,19564.39879999998,0,0.0,0,0.0,0.0,28157.490800000138
8,Hercílio Luz,0.0,0,14411.114000000001,0,0.0,0,0.0,0.0,0.0
9,Pinto Martins,0.0,0,0.0,0,0.0,0,0.0,0.0,59198.0296
10,Aeroporto Internacional Afonso Pena,1942.0492,0,0.0,0,0.0,0,0.0,0.0,0.0
11,Presidente Castro Pinto,0.0,0,0.0,0,63.160799999999995,0,0.0,0.0,0.0
12,Marechal Rondon,0.0,0,0.0,0,626.826,0,0.0,0.0,0.0
13,Santa Genoveva,0.0,0,23820.786,0,0.0,0,0.0,0.0,0.0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,0.0,0,0.0,0,22.6016,0,0.0,0.0,0.0
15,Zumbi dos Palmares,0.0,0,0.0,0,3165.3336,0,0.0,0.0,0.0
16,Marechal Cunha Machado Internacional,0.0,0,0.0,0,13309.4508,0,0.0,0.0,0.0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,76.542,0,0.0,0,0.0,0,0.0,0.0,0.0
18,Santa Maria,0.0,0,0.0,0,0.0,0,0.0,0.0,8732.888400000002
19,Campo Grande Internacional,0.0,0,0.0,0,0.0,0,0.0,0.0,5.7796
20,Corumbá Internacional,0.0,0,0.0,0,231.06480000000002,0,0.0,0.0,0.0
21,Eurico de Aguiar Salles,0.0,0,0.0,0,0.0,0,0.0,10060.342400000001,0.0
22,Cabo Frio,0.0,0,0.0,0,3322.2576000000004,0,0.0,0.0,0.0
23,Cataratas,0.0,0,0.0,0,0.0,0,8069.250800000001,0.0,0.0
24,João Simões Lopes Neto,0.0,0,0.0,0,181.35920000000002,0,0.0,0.0,0.0
25,Rubem Berta,143.1928,0,0.0,0,0.0,0,0.0,0.0,0.0
26,Navegantes / Ministro Victor Konder - Internacional,0.0,0,0.0,0,0.0,0,0.0,6108.4744,0.0
27,Aeroporto Internacional de Ponta Porã,65.3276,0,0.0,0,0.0,0,0.0,0.0,0.0
28,Aeroporto Internacional Senador Nilo Coelho,0.0,0,0.0,0,4147.57080000027,0,0.0,0.0,78.36319999973057
