,volumes,Refinaria Clara Camarão,Refinaria Landulpho Alves,Refinaria Duque de Caxias,Refinaria Alberto Pasqualini ,Refinaria Gabriel Passos,Refinaria Isaac Sabbá,Refinaria Presidente Getúlio Vargas,Refinaria de Paulínia ,Refinaria Henrique Lage
0,Guarulhos - Governador André Franco Montoro,0,0,0,0,0,0,0,178718.09310000003,0
1,Presidente Juscelino Kubitschek,0,0,0,0,0,0,0,34054.0244,0
2,Tancredo Neves,0,0,0,0,0,0,0,3961.2407000000003,0
3,Viracopos,0,0,0,0,0,0,0,40838.958000000006,0
4,RIo de Janeiro/Galeão - Antônio Carlos Jobim,0,0,0,0,0,0,0,81739.34150000001,0
5,Guararapes - Gilberto Freyre Internacional,0,0,0,0,0,0,0,23173.7042,0
6,Deputado Luis Eduardo Magalhães-Intl,0,0,0,0,0,0,0,13395.1731,0
7,Salgado Filho,0,0,0,0,0,0,0,11930.4724,0
8,Hercílio Luz,0,0,0,0,0,0,0,3602.7785000000003,0
9,Pinto Martins,0,0,0,0,0,0,0,14799.507399999988,0
10,Aeroporto Internacional Afonso Pena,0,0,0,0,0,0,0,485.5123,0
11,Presidente Castro Pinto,0,0,0,0,0,0,0,15.790199999999999,0
12,Marechal Rondon,0,0,0,0,0,0,0,156.7065,0
13,Santa Genoveva,0,0,0,0,0,0,0,5955.1965,0
14,Aeroporto Internacional do Rio Grande do Norte / São Gonçalo do Amarante - Governador Aluizio Alves,0,0,0,0,0,0,0,5.6504,0
15,Zumbi dos Palmares,0,0,0,0,0,0,0,791.3333999999995,0
16,Marechal Cunha Machado Internacional,0,0,0,0,0,0,0,3327.3627,0
17,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,0,0,0,0,0,0,0,19.1355,0
18,Santa Maria,0,0,0,0,0,0,0,2183.2221000000004,0
19,Campo Grande Internacional,0,0,0,0,0,0,0,1.4449,0
20,Corumbá Internacional,0,0,0,0,0,0,0,57.766200000000005,0
21,Eurico de Aguiar Salles,0,0,0,0,0,0,0,2515.0856000000003,0
22,Cabo Frio,0,0,0,0,0,0,0,830.5644000000001,0
23,Cataratas,0,0,0,0,0,0,0,2017.3127000000002,0
24,João Simões Lopes Neto,0,0,0,0,0,0,0,45.339800000000004,0
25,Rubem Berta,0,0,0,0,0,0,0,35.7982,0
26,Navegantes / Ministro Victor Konder - Internacional,0,0,0,0,0,0,0,1527.1186,0
27,Aeroporto Internacional de Ponta Porã,0,0,0,0,0,0,0,16.331900000001042,0
28,Aeroporto Internacional Senador Nilo Coelho,0,0,0,0,0,0,0,1056.4835,0
