,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
0,Abengoa - São João Bv,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
1,Abengoa - São Luiz,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
2,Adecoagro,839847933.592833,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,3619626.8595380946,50373.140461905394,445214.1037231856,266000.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,968920661.8043427,5000000,0
3,Agrisa,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
4,Agrocan,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
5,Agropaulo - Un. Jaguaruana,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
6,Agropeu,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
7,Agrosserra,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
8,Água Bonita,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
9,Alcoeste,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
10,Alcon,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
11,Alcoolquímica,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
12,Alcoolvale,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
13,Alta Floresta (Alto Alegre),335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
14,Alta Mogiana,923832726.9521163,0.0,0.0,128916688806.41238,94471978878.75793,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.5454919036,55410.454508096445,489735.5140955041,292600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,1065812727.984777,5500000,0
15,Alta Paulista (Usalpa),335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
16,Alta Paulista II,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
17,Alto Alegre - Florestópolis,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
18,Alto Alegre - Unidade Junqueira,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
19,Alto Alegre - Unidade Santo Inácio,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
20,Alto Taquari,650797744.0,0.0,0.0,128916688806.41238,94471978878.75793,361128.0,361128.0,0.0,0.0,0.0,0.0,0.0,0.0,2936000.0,0.0,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,243292112.64,4000000,0
21,Alvorada,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
22,Americana,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
23,Andrade,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
24,Angélica,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
25,Anicuns,488098308.0,0.0,0.0,128916688806.41238,94471978878.75793,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,182469084.48000002,3000000,0
26,Aroeira,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
27,Atena Tecnologias - Fazendo Bartira,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
